pathology,auc_roc,ap,n_positive,prevalence,wang_2017_auc,improvement,optimal_threshold
Hernia,0.9062269448656326,0.3774779020816304,227,0.0020246164823403494,0.872,0.0342269448656326,
Cardiomegaly,0.8783343826879755,0.23082545778747948,2776,0.024759186585800928,0.814,0.06433438268797553,
Effusion,0.8542859861026386,0.44490478946485473,13317,0.11877452729218695,0.784,0.07028598610263859,
Edema,0.848782325276143,0.0905473491056107,2303,0.020540492329646807,0.805,0.0437823252761429,
Mass,0.8049262671356723,0.2563851993722073,5782,0.05156974669996432,0.706,0.09892626713567232,0.53
Consolidation,0.7732681690835113,0.10630983582733616,4667,0.0416250445950767,0.708,0.0652681690835113,
Atelectasis,0.7648130018797678,0.2514360886576753,11559,0.10309489832322512,0.716,0.04881300187976778,
Pneumothorax,0.7565723639723825,0.1138766846603927,5302,0.04728861933642526,0.806,-0.04942763602761757,
Pleural_Thickening,0.7434468565215434,0.08588811959623208,3385,0.030190866928291118,0.684,0.059446856521543356,
Fibrosis,0.7268405227291412,0.04448101755561758,1686,0.015037459864430967,0.786,-0.059159477270858796,
Pneumonia,0.718451204301241,0.030859340694591068,1431,0.012763110952550838,0.633,0.08545120430124098,
Emphysema,0.7113718488306712,0.0475430802216483,2516,0.022440242597217268,0.833,-0.12162815116932879,
Nodule,0.6909311080880236,0.1591540192910687,6331,0.05646628612201213,0.671,0.019931108088023564,0.515
Infiltration,0.6814370819671672,0.32061348120510763,19894,0.17743489118801284,0.609,0.07243708196716725,
