pathology,model,resolution,auc_roc,ap,n_positive,prevalence,wang_2017_auc,improvement_vs_wang,densenet121_auc,improvement_vs_densenet,optimal_threshold
Hernia,resnet50-res512-all,512,0.943534770927118,0.4156841462734458,227,0.0020246164823403494,0.872,0.07153477092711802,,,
Cardiomegaly,resnet50-res512-all,512,0.9111511355195333,0.3065490613128162,2776,0.024759186585800928,0.814,0.09715113551953336,,,
Emphysema,resnet50-res512-all,512,0.9091797768541399,0.34291348342965683,2516,0.022440242597217268,0.833,0.0761797768541399,,,
Edema,resnet50-res512-all,512,0.9022048942109514,0.18959807080656665,2303,0.020540492329646807,0.805,0.09720489421095135,,,
Pneumothorax,resnet50-res512-all,512,0.8843826000614929,0.38895617436571944,5302,0.04728861933642526,0.806,0.07838260006149289,,,
Effusion,resnet50-res512-all,512,0.8757012883731673,0.5143619401516163,13317,0.11877452729218695,0.784,0.09170128837316727,,,
Mass,resnet50-res512-all,512,0.8389551503793997,0.33611465631337034,5782,0.05156974669996432,0.706,0.13295515037939976,,,0.04
Fibrosis,resnet50-res512-all,512,0.8173981352683538,0.10886148233343294,1686,0.015037459864430967,0.786,0.03139813526835378,,,
Consolidation,resnet50-res512-all,512,0.8071464099897546,0.15070524708280464,4667,0.0416250445950767,0.708,0.09914640998975466,,,
Pleural_Thickening,resnet50-res512-all,512,0.7947164773028677,0.13837258359941318,3385,0.030190866928291118,0.684,0.1107164773028676,,,
Atelectasis,resnet50-res512-all,512,0.7944483089284289,0.31619404204199253,11559,0.10309489832322512,0.716,0.07844830892842891,,,
Nodule,resnet50-res512-all,512,0.7798929100366215,0.25385013391621275,6331,0.05646628612201213,0.671,0.10889291003662149,,,0.05
Pneumonia,resnet50-res512-all,512,0.7368823058169054,0.036260306255264815,1431,0.012763110952550838,0.633,0.10388230581690538,,,
Infiltration,resnet50-res512-all,512,0.6998250383746716,0.34356214844463306,19894,0.17743489118801284,0.609,0.0908250383746716,,,
