pathology,model,auc_roc,ap,n_positive,prevalence,wang_2017_auc,improvement_vs_wang,densenet121_auc,improvement_vs_densenet
Emphysema,ark_plus_swin_large_768,0.9417860360312009,0.4055755329179759,2516,0.022440244,0.833,0.10878603603120096,,
Pneumothorax,ark_plus_swin_large_768,0.9359044128398588,0.5397227686688655,5302,0.04728862,0.806,0.12990441283985876,,
Cardiomegaly,ark_plus_swin_large_768,0.9272121998289617,0.35241915999356505,2776,0.024759186,0.814,0.1132121998289618,,
Edema,ark_plus_swin_large_768,0.9206489344838326,0.24098608955382286,2303,0.020540493,0.805,0.11564893448383251,,
Effusion,ark_plus_swin_large_768,0.9018771926056874,0.5760336377268278,13317,0.118774526,0.784,0.11787719260568741,,
Mass,ark_plus_swin_large_768,0.89628893702276,0.4320718117061378,5782,0.051569745,0.706,0.19028893702276006,,
Hernia,ark_plus_swin_large_768,0.8942757262080658,0.1747722140453999,227,0.0020246166,0.872,0.022275726208065838,,
Fibrosis,ark_plus_swin_large_768,0.8615834289176032,0.15326054501469913,1686,0.01503746,0.786,0.07558342891760317,,
Atelectasis,ark_plus_swin_large_768,0.8585413075487591,0.4413551615994541,11559,0.1030949,0.716,0.14254130754875916,,
Nodule,ark_plus_swin_large_768,0.8429312661051566,0.32624495230457856,6331,0.056466285,0.671,0.17193126610515652,,
Pleural_Thickening,ark_plus_swin_large_768,0.8399669042111039,0.18216681284476566,3385,0.030190866,0.684,0.15596690421110382,,
Consolidation,ark_plus_swin_large_768,0.8346500578640577,0.19143707779130043,4667,0.041625045,0.708,0.1266500578640577,,
Pneumonia,ark_plus_swin_large_768,0.8031978233737642,0.07414274891386473,1431,0.012763111,0.633,0.1701978233737642,,
Infiltration,ark_plus_swin_large_768,0.7457316931886986,0.3930526665876432,19894,0.17743489,0.609,0.1367316931886986,,
