pathology,ark_plus_auc,densenet121_auc,wang_2017_auc,ark_vs_d121,ark_vs_wang
Atelectasis,0.8585413075487591,,0.716,,0.14254130754875916
Cardiomegaly,0.9272121998289617,,0.814,,0.1132121998289618
Consolidation,0.8346500578640577,,0.708,,0.1266500578640577
Edema,0.9206489344838326,,0.805,,0.11564893448383251
Effusion,0.9018771926056874,,0.784,,0.11787719260568741
Emphysema,0.9417860360312009,,0.833,,0.10878603603120096
Fibrosis,0.8615834289176032,,0.786,,0.07558342891760317
Hernia,0.8942757262080658,,0.872,,0.022275726208065838
Infiltration,0.7457316931886986,,0.609,,0.1367316931886986
Mass,0.89628893702276,,0.706,,0.19028893702276006
Nodule,0.8429312661051566,,0.671,,0.17193126610515652
Pleural_Thickening,0.8399669042111039,,0.684,,0.15596690421110382
Pneumonia,0.8031978233737642,,0.633,,0.1701978233737642
Pneumothorax,0.9359044128398588,,0.806,,0.12990441283985876
