epoch,train_loss,val_loss,val_dice,val_iou,val_precision,val_recall,lr
1,0.5104557882004146,0.3583051260268445,0.4939969065628923,0.42050079289220826,0.48469533646072677,0.8976206573449408,9.990232305719945e-05
2,0.3082153287492221,0.27091843019585027,0.5105295746408629,0.4395561439736937,0.5162998885578257,0.8876826629645265,9.960967771506666e-05
3,0.2617755594227133,0.26206230251920126,0.5153153013598342,0.442773052048157,0.541830817109568,0.8657373458177954,9.912321891107009e-05
4,0.26221250164546545,0.23857484410223645,0.5517204121404289,0.48564298604904127,0.5898109423297413,0.8664612522843879,9.844486647586723e-05
5,0.2412361867065671,0.26473090185494397,0.5055006874113901,0.4422696467602009,0.5684436796582354,0.84015135133798,9.757729755661011e-05
6,0.23586175372894805,0.22815088498043304,0.5752903368551717,0.5220758031132765,0.7383752945561787,0.76471144515175,9.652393605146844e-05
7,0.22703941191864918,0.2522283641990394,0.5251268544913692,0.46309659962398164,0.5949393670490764,0.8268694566106285,9.528893909706797e-05
8,0.2297502508787792,0.21153095760406856,0.6015254717116701,0.5457466126849324,0.7274579407434093,0.7991849021272103,9.387718066217124e-05
9,0.2237293434671209,0.2217040347612073,0.5841547453322031,0.5259309909689174,0.7027179030210204,0.7998187036774704,9.229423231234974e-05
10,0.23561361905045902,0.21239725714874563,0.6074308927315476,0.5579002538726192,0.7820847617932929,0.7588882450615705,9.054634122155989e-05
11,0.2289708844845808,0.2183851846962983,0.5888951460990964,0.5317557249345808,0.7138158393275085,0.7972400663346516,8.864040551740155e-05
12,0.2282625149511084,0.2355547086217412,0.5631488600776058,0.5135900823047241,0.7614050826274767,0.7322965886326673,8.658394705735986e-05
13,0.23370448181146308,0.2513779496968519,0.5343275637478931,0.4838150793942175,0.7467235242294433,0.7193335329732027,8.438508174347008e-05
14,0.22600797427511668,0.22473178474722522,0.5779963515484043,0.5295343858958489,0.8059015290168634,0.6999433489353485,8.205248749256013e-05
15,0.21873040442602543,0.21717816854209337,0.5883507043387175,0.5259264081300566,0.6725896407016582,0.8326621568207093,7.959536998847742e-05
16,0.2261799885879589,0.26321058783447127,0.5104773038709312,0.47881561440404,0.8510761540400267,0.6052019890517543,7.702342635146032e-05
17,0.23198358804176125,0.22614395635178705,0.5769746606018553,0.5387253656635295,0.8456880014944005,0.6815448406006291,7.434680686803489e-05
18,0.2247523619498633,0.2305840831668452,0.5695900428760765,0.5137761759790961,0.6789985352472331,0.8121996589733826,7.157607493247108e-05
19,0.2223899594684945,0.22470248716948069,0.5741408517451524,0.520818493056637,0.7052125775120328,0.7819665299951927,6.872216535789155e-05
20,0.22502189372913747,0.21787980365744933,0.5870276850453142,0.5369930581956515,0.7480737553467203,0.7668148657358758,6.579634122155988e-05
21,0.2154274214011959,0.21260891107306645,0.5974605746977846,0.5466304890650305,0.7445717405221183,0.7797488996490574,6.28101494146603e-05
22,0.21578539749489556,0.22528323126300742,0.5752359433374391,0.5316386993304689,0.7918729794068271,0.7190810022801625,5.9775375071993364e-05
23,0.21828497145560724,0.21837718156246855,0.5896793571787625,0.5418756209265332,0.7795885292451091,0.74574529873307,5.670399506143306e-05
24,0.2180546107077146,0.21254432384752708,0.5994231172874903,0.5503047444102026,0.783080358039728,0.7501764128540281,5.3608130716701005e-05
25,0.21644446776260304,0.21556689722171826,0.5935786610368555,0.5412153741712862,0.726191212636084,0.7958624179166286,5.049999999999999e-05
26,0.21438476496104952,0.21686062995856098,0.5895966287576258,0.5341134596482239,0.7116530730307098,0.8046682467726,4.7391869283298976e-05
27,0.21062486376849157,0.21520142726190683,0.5923518023258011,0.5339516617688433,0.676061438894371,0.8354913117850152,4.429600493856693e-05
28,0.2142156744022158,0.21692368189356462,0.588653280590563,0.5303771080937133,0.6783902500541237,0.8316340585748835,4.122462492800662e-05
29,0.21861656548667557,0.21418606440256283,0.5969014130331677,0.5460994482248827,0.7517858202262855,0.7822404894662324,3.8189850585339674e-05
30,0.21442752571045598,0.2168421775020203,0.5900755046678692,0.5345089393787493,0.7098582393185744,0.8083076269371964,3.5203658778440106e-05
31,0.21088135791353033,0.2212789200279814,0.5813271209057072,0.5226813692423437,0.6889393044093206,0.8147125953709918,3.227783464210844e-05
32,0.21017290285871,0.21578007497890078,0.5908151033292711,0.531528938986017,0.6720164807444914,0.839934914037096,2.942392506752889e-05
33,0.21046773067946675,0.20976591161737135,0.6035240500299335,0.5482116381838227,0.7164772342314175,0.817476031753871,2.6653193131965075e-05
34,0.20843055868827845,0.21311315966237593,0.5964599749074069,0.5421118076886883,0.7496815827852582,0.7771523135047531,2.3976573648539646e-05
35,0.21011763716800302,0.20967964495532537,0.6060491104811748,0.5565087908843149,0.7659421588965056,0.7780344705865163,2.1404630011522576e-05
36,0.20739989359922048,0.2169008643939097,0.5892071193267031,0.5306061001457242,0.6766518573490192,0.8344778155851974,1.8947512507439848e-05
37,0.20528023000570791,0.21097816603121114,0.5994442787112364,0.5421114513116329,0.6998803507261911,0.8225265022301567,1.66149182565299e-05
38,0.20121169554281837,0.2080621849365643,0.6060569278174671,0.5503807852917035,0.7132048815857018,0.8219491184437683,1.4416052942640132e-05
39,0.2026028222204009,0.20616772327400845,0.6086313907536024,0.5529980615869435,0.7146216131168552,0.8224037998158586,1.235959448259843e-05
40,0.20362393304328374,0.20654898658884135,0.609944878178393,0.5562908738483464,0.7345459627306477,0.8081503657787018,1.04536587784401e-05
41,0.1989800982554502,0.20462043659366871,0.6138596319048333,0.5627098336947037,0.7606578560993373,0.7884651377791976,8.70576768765026e-06
42,0.20061484476244903,0.20464821070473868,0.6142588160474084,0.5643506571298116,0.7776838358933775,0.7730869299764663,7.122819337828748e-06
43,0.20088250021202655,0.20383649465434492,0.6161125769832232,0.5659710841356395,0.7704437718143672,0.7809807346780284,5.711060902932039e-06
44,0.20023589223811897,0.2017447385451516,0.6196529974288697,0.5692892133646351,0.7644646323959934,0.7910423213805948,4.476063948531556e-06
45,0.19951551268938222,0.20225329539003645,0.6185400798986564,0.5684198622522149,0.7656857465107864,0.7895557226460572,3.4227024433898985e-06
46,0.20118381452711323,0.2024638227271119,0.6179141970716496,0.5664714904187291,0.7595450410487486,0.7932837882999562,2.555133524132766e-06
47,0.20100881411116334,0.2014136150649292,0.620338666784411,0.5698513139164142,0.7706420500337458,0.7865463717355474,1.8767810889299075e-06
48,0.19912194372449496,0.20077863864077855,0.6222715932064639,0.5719471296959341,0.7732310827934822,0.7867128734682572,1.3903222849333503e-06
49,0.19939324555894997,0.2017064734757709,0.6194245551179747,0.5691123401868202,0.7709207048179667,0.7853100257392907,1.0976769428005576e-06
50,0.19773307975051524,0.20111014093653867,0.6210990178341984,0.5698880996038259,0.7612999430454406,0.7959649105447821,1e-06
