Patoloji,TorchXRayVision,ResNet-50,Ark+,Simple Average,Weighted Average,Maximum,Rank Average,Optimal Weighted
Atelectasis,0.7648130018797678,0.7944483089284289,0.8585413075487591,0.8344270556702378,0.8362227947928962,0.7915394326383363,0.8289403092822637,0.8589231243763237
Cardiomegaly,0.8783343826879755,0.9111511355195333,0.9272121998289617,0.9077895783942636,0.9090649567523039,0.8854717139689331,0.9275189644199329,0.9323122801665936
Consolidation,0.7732681690835113,0.8071464099897546,0.8346500578640577,0.8187917753192869,0.8197144912651313,0.7746593653751688,0.8236685104501149,0.8371933008373396
Edema,0.848782325276143,0.9022048942109514,0.9206489344838326,0.8955944138875714,0.8969882339011939,0.8587523499749125,0.9093409815154887,0.9231196911962063
Effusion,0.8542859861026386,0.8757012883731673,0.9018771926056874,0.8905891461015129,0.8914851855785617,0.8707842543337159,0.8915954804268033,0.9028149767920628
Emphysema,0.7113718488306712,0.9091797768541399,0.9417860360312009,0.9093758070316328,0.9111299685226114,0.7947913181194168,0.9049920478283171,0.943957640118968
Fibrosis,0.7268405227291412,0.8173981352683538,0.8615834289176032,0.8078628698878152,0.8097704734717425,0.729365640333187,0.8404589561671387,0.8662870939419414
Hernia,0.9062269448656326,0.943534770927118,0.8942757262080658,0.9217583617388403,0.9224303378884902,0.915015509428434,0.9403526284216384,0.9520023279005027
Infiltration,0.6814370819671672,0.6998250383746716,0.7457316931886986,0.7301854497803727,0.7312808706956619,0.6860943939927568,0.729719373597814,0.7464720365103962
Mass,0.8049262671356723,0.8389551503793997,0.89628893702276,0.8679655860538652,0.8693743055622374,0.8167385547122641,0.8707904334259686,0.8973832950476686
Nodule,0.6909311080880236,0.7798929100366215,0.8429312661051566,0.8033150022738553,0.8059163103535747,0.7140417177564268,0.8065908753296764,0.8445231500124212
Pleural_Thickening,0.7434468565215434,0.7947164773028677,0.8399669042111039,0.7943246312043313,0.7960397736314875,0.7470060441960483,0.8212958217840062,0.843957601853299
Pneumonia,0.718451204301241,0.7368823058169054,0.8031978233737642,0.7436540915794448,0.744891206473266,0.7224911432241778,0.7813636931230046,0.8054912120580044
Pneumothorax,0.7565723639723825,0.8843826000614929,0.9359044128398588,0.9019704184682323,0.9034289104007586,0.8469037448842767,0.9019221726017029,0.936622882324461
ORTALAMA,0.7756920045315365,0.8353870858602434,0.8717568514449651,0.8448288705279474,0.846266987092137,0.7966896559241468,0.8556107320267051,0.8779329009382992
